time, mean, SD
756, -16.6818, 195.411
757, 23.9318, 261.925
758, -67.0227, 190.023
759, -38.4773, 248.418
760, 94.2222, 200.728
761, 1.25, 175.265
762, 2.02273, 206.165
763, 21.7727, 211.45
764, -76.7045, 167.106
765, 28.8409, 199.702
766, 3.84091, 103.085
767, -17.1818, 132.836
768, 26.5, 256.975
769, -53.5, 224.053
770, 61, 182.574
771, -40.25, 116.079
772, 11.6591, 150.973
773, -4.25, 161.318
774, 4.47727, 169.612
775, -16.9545, 176.684
776, 46.1364, 123.723
777, -7.52273, 118.742
778, -57.2273, 165.771
779, 34.8182, 180.322
780, -5.64444, 127.335
781, 10, 152.683
782, 21, 92.0637
783, -18.4545, 93.8845
784, 44.6818, 84.2102
785, -65.1591, 162.626
786, 40.1818, 137.16
787, -2.93182, 110.735
788, 4.20455, 101.649
789, -33.25, 133.423
790, -16.5111, 121.673
791, 18, 169.105
792, -15.3182, 103.302
793, 28.5909, 61.7021
794, 9.68182, 98.8679
795, -26.3864, 90.3987
796, -8.61364, 113.192
797, 17.6364, 100.927
798, -10.2273, 126.217
799, 2.56818, 95.6999
800, 21.8889, 82.3003
801, -7.13636, 93.41
802, 8.11364, 68.886
803, 6.47727, 83.9054
804, -42.1591, 101.374
805, 46.7955, 87.3152
806, -28.6591, 95.2038
807, -13, 55.6246
808, 3.52273, 121.708
809, 8.70455, 94.217
810, 17.9111, 62.7779
811, 5.77273, 77.4819
812, -34.2727, 74.6219
813, -20.2273, 101.391
814, -1017.09, 4217.67
815, 1945.02, 6423.07
816, -864.545, 5221.82
817, -1477.89, 2028.21
818, 1722.18, 1700.06
819, -151.159, 1161.77
820, -271.022, 536.395
821, 521.182, 567.763
822, -554.25, 635.102
823, -43.1818, 614.023
824, 447.795, 2249.71
825, -89.8864, 3549.12
826, -401.227, 1543.46
827, 93.7273, 1288.73
828, 14.4545, 1685.97
829, -66.0455, 1199.51
830, 458.2, 831.689
831, -358.568, 750.813
832, 55.75, 744.111
833, 2.68182, 516.906
834, 155.273, 576.463
835, 84.8636, 1053.65
836, -323.409, 1358.48
837, 271.886, 954.947
838, -213.705, 728.15
839, -2.36364, 571.228
840, 261.667, 574.342
841, -197.091, 482.789
842, 8.02273, 374.003
843, 43.5682, 834.981
844, -27.8409, 412.591
845, -27.5909, 558.478
846, -0.681818, 711.971
847, -56.9545, 718.733
848, 119, 659.29
849, -35.1818, 829.124
850, -63.4889, 633.229
851, 33.3864, 462.813
852, -86.9091, 559.507
853, 186.955, 728.501
854, -115.227, 576.091
855, -29.9545, 715.976
856, 148.773, 380.935
857, -39.0909, 555.838
858, -163.341, 739.945
859, 266.159, 796.33
860, -244.444, 417.489
861, 65.7273, 600.526
862, 5.95455, 510.664
863, 56.1364, 525.88
864, 5.04545, 402.646
865, -53.4773, 469.186
866, 63.5455, 591.695
867, -53.9091, 391.668
868, 40.7727, 389.265
869, 89.0227, 473.411
870, -101.711, 422.568
871, -56.4318, 335.647
872, 98.7955, 458.391
873, -10.8636, 279.219
874, -39.8864, 387.136
875, 4.72727, 400.339
876, 20.25, 396.233
877, -22.7273, 478.04
878, -8.40909, 345.387
879, -49.3864, 293.949
880, 70.5333, 400.7
881, -77.2727, 392.075
882, 74.0455, 254.981
883, -71.9545, 286.218
884, 40.0682, 379.615
885, -29.3864, 298.067
886, -21.0227, 401.765
887, 67.1364, 373.008
888, 55.5227, 351.796
889, -77.9773, 287.817
890, -8.51111, 306.281
891, -29.6818, 365.132
892, 102.636, 428.874
893, -2.61364, 321.022
894, -90.7273, 246.419
895, 25.4318, 284.616
896, 50.2273, 268.17
897, -92.75, 369.002
898, 86.8182, 330.863
899, 10.6136, 196.091
900, -75.4444, 294.743
901, 65.8409, 304.368
902, -50.9773, 212.895
903, 33.3182, 216.542
904, 2, 258.472
905, -2.25, 144.388
906, -13.6591, 218.021
907, 1.61364, 285.198
908, -4.29545, 209.584
909, 65.75, 272.615
910, -96.0444, 308.145
911, 48.7727, 231.083
912, -2.65909, 237.35
913, -7.45455, 191.578
914, 40.8864, 205.957
915, -42.9545, 206.681
916, -37.9318, 172.429
917, 59.8636, 175.545
918, -0.0454545, 173.931
919, -8.09091, 213.566
920, 49.3556, 221.51
921, -72.9318, 143.046
922, 16.8636, 164.121
923, -6.15909, 105.842
924, -4.13636, 139.443
925, 30.9091, 203.294
926, -40.5227, 188.304
927, 30.0682, 144.939
928, -32.8182, 106.564
929, 15.0227, 143.762
930, 7.95556, 147.201
931, -20.1591, 154.83
932, -12.4318, 166.13
933, 36.9091, 110.314
934, 22.7273, 108.016
935, -36.8636, 139.465
936, -4.45455, 161.541
937, -5.70455, 101.712
938, 2.29545, 135.742
939, 19.2045, 95.984
940, 10.9778, 92.1756
941, 28.75, 105.831
942, -56.25, 128.579
943, 30.8182, 98.6848
944, -16.6364, 88.6636
945, 19.7045, 74.2706
946, -23.6591, 92.2329
947, -22.1136, 73.7506
948, 9.36364, 126.154
949, -21.4545, 75.6137
950, 29.3333, 54.9525
951, 20.3636, 75.8285
952, -15.4545, 66.1079
953, -12.9318, 92.1753
954, 6.36364, 65.7686
955, -13.0682, 107.869
956, 10.6364, 71.1318
957, 20.0227, 57.691
958, 3.45455, 78.0269
959, -25.0227, 76.6641
960, -4.88889, 89.967
961, -4.5, 200.67
962, -1077.05, 4455.9
963, 2237.68, 7146.66
964, -1123.68, 4178.4
965, -1459.61, 2523.75
966, 1797.91, 1399.26
967, -210.591, 929.779
968, -237.705, 543.651
969, 422.614, 466.432
970, -530.378, 497.362
971, 85.2727, 660.953
972, 432.977, 2194.26
973, -254.205, 3669.31
974, -386.091, 1515.53
975, 118.591, 1440.05
976, 14.7727, 1574.17
977, 55.4091, 1175.74
978, 394.818, 721.108
979, -353.136, 706.885
980, 68.6222, 721.452
981, -72.3864, 544.523
982, 78.4545, 526.021
983, 216.341, 1151.81
984, -279, 1428
985, 107.182, 901.607
986, -205.455, 651.896
987, 132.682, 563.859
988, 234.591, 679.989
989, -205.295, 472.657
990, -13.7111, 387.362
991, -4.90909, 605.979
992, 35.0682, 398.883
993, 21.8182, 500.273
994, -19.0682, 617.042
995, -101.114, 709.446
996, 138.841, 609.761
997, -46.8864, 769.775
998, -33.5455, 559.053
999, 28.5455, 429.521
1000, -102.022, 467.491
1001, 167.159, 770.305
1002, -112.523, 577.043
1003, 6.5, 765.99
1004, 98.7727, 451.465
1005, -62.2955, 587.92
1006, -88.8864, 722.746
1007, 192.75, 759.152
1008, -182.659, 456.549
1009, 96.1136, 602.264
1010, -26.4667, 581.533
1011, -7.20455, 486.785
1012, -29.3636, 406.221
1013, -34.9545, 463.655
1014, 138.795, 488.001
1015, -57.0455, 332.214
1016, -8.20455, 390.457
1017, 86.75, 500.752
1018, -54.1136, 427.266
1019, -68.5909, 366.414
1020, 73.3556, 497.769
1021, -33.75, 321.354
1022, -48.5455, 395.14
1023, 41.7273, 368.612
1024, 17.3182, 298.818
1025, 46.7273, 436.797
1026, -70.3864, 331.91
1027, -26.1136, 268.356
1028, 22.5, 353.02
1029, -9.75, 368.049
1030, 48.1111, 291.947
1031, -64.9318, 252.56
1032, 7.47727, 354.795
1033, 23.1818, 267.711
1034, -53.8864, 318.808
1035, 81.4545, 380.274
1036, -19.6818, 327.224
1037, -38.7955, 247.232
1038, 14.1364, 280.196
1039, -19.7955, 302.937
1040, 71.1778, 379.437
1041, 30.4773, 273.766
1042, -133.75, 222.988
1043, 74.7955, 309.277
1044, 2.97727, 267.92
1045, -45.3636, 321.278
1046, 70.3182, 250.792
1047, -6.52273, 179.389
1048, -70.4091, 238.274
1049, 72.75, 280.378
1050, -45.5333, 198.8
1051, 29.9318, 188.999
1052, 2.34091, 221.683
1053, -28.3636, 191.317
1054, 4.11364, 167.245
1055, 23.4545, 231.267
1056, -13.7273, 210.144
1057, 24.0227, 265.837
1058, -60.3636, 303.541
1059, 46.0682, 170.686
1060, 10.4444, 182.949
1061, -22.9091, 152.822
1062, 40.9773, 174.778
1063, -42.75, 171.854
1064, -34.7955, 171.304
1065, 52.4545, 174.863
1066, 6.47727, 134.219
1067, -15.3409, 171.312
